! AIRS solar data file for AIRS SRF 31 Mar 2008 m130
!     Tef = 156.339 K, yoffset = -13.0 um
! Data for 649-1614 cm-1 comes from M.P. Thekaekara, 1973 Solar
! Energy v.14 p.109-127 (supplied to us by Chris Barnet).  The ~80
! cm-1 point spacing data has been interpolated to the AIRS
! channel freqs and converted to W/(m2.sr.cm-1).
!
! Data for 2181-2665 cm-1 comes from ATMOS Solar Spectra, and was
! supplied to us by ATMOS Principal Investigator Michael Gunson.
! In particular we used the file "atmos_corrected_solar.mat".
! This data was then directly convolved with the estimated AIRS
! SRFs for each channel to approximate the effective AIRS solar.
!
!chan   frequency    solar
!---- ----------- --------
  381   761.5468   21.2486
  382   761.8772   21.2666
  383   762.2079   21.2846
  384   762.5389   21.3026
  385   762.8701   21.3205
  386   763.2016   21.3386
  387   763.5334   21.3566
  388   763.8655   21.3748
  389   764.1979   21.3930
  390   764.5306   21.4111
  391   764.8635   21.4293
  392   765.1967   21.4476
  393   765.5303   21.4658
  394   765.8640   21.4840
  395   766.1981   21.5024
  396   766.5325   21.5208
  397   766.8671   21.5391
  398   767.2020   21.5577
  399   767.5373   21.5761
  400   767.8728   21.5946
  401   768.2085   21.6130
  402   768.5446   21.6317
  403   768.8810   21.6502
  404   769.2176   21.6688
  405   769.5546   21.6876
  406   769.8918   21.7064
  407   770.2293   21.7249
  408   770.5671   21.7436
  409   770.9052   21.7628
  410   771.2435   21.7815
  411   771.5822   21.8000
  412   771.9212   21.8192
  413   772.2604   21.8384
  414   772.5999   21.8569
  415   772.9397   21.8759
  416   773.2799   21.8954
  417   773.6203   21.9144
  418   773.9610   21.9331
  419   774.3019   21.9524
  420   774.6432   21.9720
  421   774.9848   21.9910
  422   775.3266   22.0099
  423   775.6688   22.0297
  424   776.0112   22.0490
  425   776.3540   22.0679
  426   776.6970   22.0874
  427   777.0403   22.1074
  428   777.3840   22.1262
  429   777.7279   22.1457
  430   778.0721   22.1656
  431   778.4166   22.1852
  432   778.7614   22.2044
  433   779.1065   22.2241
  434   779.4519   22.2442
  435   779.7976   22.2635
  436   780.1436   22.2831
  437   780.4899   22.3034
  438   780.8365   22.3233
  439   781.1834   22.3425
  440   781.5306   22.3625
  441   781.8780   22.3828
  442   789.2592   22.8093
  443   789.6129   22.8299
  444   789.9670   22.8505
  445   790.3213   22.8713
  446   790.6760   22.8920
  447   791.0310   22.9126
  448   791.3863   22.9335
  449   791.7418   22.9543
  450   792.0977   22.9751
  451   792.4539   22.9961
  452   792.8104   23.0171
  453   793.1672   23.0379
  454   793.5243   23.0590
  455   793.8818   23.0801
  456   794.2395   23.1010
  457   794.5975   23.1221
  458   794.9559   23.1434
  459   795.3146   23.1644
  460   795.6735   23.1856
  461   796.0328   23.2068
  462   796.3924   23.2280
  463   796.7523   23.2494
  464   797.1125   23.2705
  465   797.4730   23.2921
  466   797.8339   23.3135
  467   798.1950   23.3347
  468   798.5565   23.3562
  469   798.9182   23.3779
  470   799.2803   23.3992
  471   799.6427   23.4206
  472   800.0054   23.4424
  473   800.3685   23.4639
  474   800.7318   23.4854
  475   801.0955   23.5073
  476   801.4595   23.5290
  477   801.8237   23.5505
  478   802.1884   23.5724
  479   802.5533   23.5944
  480   802.9185   23.6160
  481   803.2841   23.6377
  482   803.6499   23.6601
  483   804.0161   23.6818
  484   804.3827   23.7034
  485   804.7495   23.7257
  486   805.1166   23.7479
  487   805.4841   23.7695
  488   805.8519   23.7916
  489   806.2200   23.8143
  490   806.5884   23.8361
  491   806.9572   23.8579
  492   807.3263   23.8807
  493   807.6956   23.9030
  494   808.0654   23.9246
  495   808.4354   23.9472
  496   808.8058   23.9699
  497   809.1764   23.9917
  498   809.5474   24.0142
  499   809.9188   24.0371
  500   810.2904   24.0591
  501   810.6624   24.0814
  502   811.0347   24.1043
  503   811.4073   24.1271
  504   811.7803   24.1490
  505   812.1536   24.1718
  506   812.5272   24.1949
  507   812.9011   24.2170
  508   813.2754   24.2397
  509   813.6500   24.2630
  510   814.0249   24.2852
  511   814.4001   24.3078
  512   814.7757   24.3312
  513   815.1516   24.3540
  514   815.5278   24.3764
  515   815.9044   24.3996
  516   816.2813   24.4228
  517   816.6585   24.4452
  518   817.0361   24.4683
  519   817.4140   24.4920
  520   817.7922   24.5145
  521   818.1707   24.5373
  522   818.5496   24.5611
  523   818.9288   24.5839
  524   819.3084   24.6067
  525   819.6883   24.6305
  526   820.0685   24.6537
  527   820.4490   24.6764
  528   820.8299   24.7000
  529   821.2111   24.7237
  530   821.5927   24.7463
  531   821.9746   24.7700
  532   822.3568   24.7937
  533   822.7394   24.8167
  534   823.1223   24.8401
  535   823.5055   24.8641
  536   823.8891   24.8873
  537   824.2730   24.9105
  538   824.6572   24.9347
  539   825.0419   24.9583
  540   825.4268   24.9813
  541   825.8121   25.0054
  542   826.1977   25.0290
  543   826.5836   25.0523
  544   826.9699   25.0765
  545   827.3566   25.1003
  546   827.7435   25.1237
  547   828.1308   25.1478
  548   828.5185   25.1717
  549   828.9065   25.1953
  550   829.2949   25.2193
  551   829.6836   25.2433
  552   830.0726   25.2671
  553   830.4620   25.2912
  554   830.8517   25.3153
  555   831.2418   25.3392
  556   831.6322   25.3632
  557   832.0230   25.3875
  558   832.4141   25.4114
  559   832.8055   25.4356
  560   833.1973   25.4598
  561   833.5895   25.4840
  562   833.9820   25.5081
  563   834.3749   25.5324
  564   834.7681   25.5567
  565   835.1616   25.5809
  566   835.5555   25.6052
  567   835.9497   25.6297
  568   836.3443   25.6540
  569   836.7393   25.6783
  570   837.1346   25.7029
  571   837.5303   25.7273
  572   837.9263   25.7517
  573   838.3226   25.7764
  574   838.7193   25.8009
  575   839.1164   25.8252
  576   839.5138   25.8501
  577   839.9116   25.8747
  578   840.3097   25.8990
  579   840.7082   25.9241
  580   841.1071   25.9487
  581   841.5063   25.9731
  582   841.9058   25.9983
  583   842.3057   26.0230
  584   842.7060   26.0475
  585   843.1066   26.0727
  586   843.5076   26.0975
  587   843.9089   26.1221
  588   844.3107   26.1474
  589   844.7127   26.1723
  590   845.1151   26.1971
  591   845.5179   26.2224
  592   845.9211   26.2474
  593   846.3246   26.2722
  594   846.7284   26.2975
  595   847.1327   26.3228
  596   847.5372   26.3477
  597   847.9422   26.3732
  598   848.3475   26.3983
  599   848.7532   26.4234
  600   849.1593   26.4489
  601   849.5657   26.4742
  602   849.9724   26.4994
  603   850.3796   26.5250
  604   850.7871   26.5504
  605   851.1950   26.5756
  606   851.6032   26.6015
  607   852.0118   26.6269
  608   852.4208   26.6522
  609   851.4870   26.5934
  610   851.7936   26.6130
  611   852.1005   26.6326
  612   852.4077   26.6511
  613   852.7151   26.6702
  614   853.0227   26.6902
  615   853.3306   26.7094
  616   853.6387   26.7279
  617   853.9470   26.7474
  618   854.2556   26.7673
  619   854.5644   26.7864
  620   854.8735   26.8052
  621   855.1828   26.8249
  622   855.4924   26.8447
  623   855.8022   26.8638
  624   856.1122   26.8827
  625   856.4225   26.9027
  626   856.7331   26.9225
  627   857.0438   26.9415
  628   857.3549   26.9609
  629   857.6661   26.9807
  630   857.9776   27.0004
  631   858.2894   27.0196
  632   858.6014   27.0392
  633   858.9136   27.0593
  634   859.2261   27.0788
  635   859.5389   27.0980
  636   859.8518   27.1179
  637   860.1651   27.1379
  638   860.4785   27.1574
  639   860.7923   27.1770
  640   861.1062   27.1971
  641   861.4204   27.2170
  642   861.7349   27.2364
  643   862.0496   27.2563
  644   862.3646   27.2765
  645   862.6798   27.2962
  646   862.9952   27.3159
  647   863.3109   27.3359
  648   863.6269   27.3562
  649   863.9431   27.3759
  650   864.2596   27.3957
  651   864.5763   27.4160
  652   864.8932   27.4362
  653   865.2104   27.4559
  654   865.5279   27.4760
  655   865.8456   27.4964
  656   866.1635   27.5165
  657   866.4817   27.5363
  658   866.8002   27.5567
  659   867.1189   27.5771
  660   867.4379   27.5971
  661   867.7571   27.6172
  662   868.0765   27.6379
  663   868.3963   27.6582
  664   868.7162   27.6782
  665   869.0365   27.6985
  666   869.3570   27.7192
  667   869.6777   27.7395
  668   869.9987   27.7596
  669   870.3199   27.7804
  670   870.6414   27.8010
  671   870.9632   27.8211
  672   871.2852   27.8416
  673   871.6074   27.8623
  674   871.9299   27.8829
  675   872.2527   27.9032
  676   872.5758   27.9240
  677   872.8990   27.9449
  678   873.2226   27.9654
  679   873.5464   27.9858
  680   873.8704   28.0067
  681   874.1948   28.0272
  682   874.5193   28.0483
  683   874.8442   28.0688
  684   875.1693   28.0900
  685   875.4946   28.1108
  686   875.8202   28.1313
  687   876.1461   28.1523
  688   876.4722   28.1735
  689   876.7986   28.1943
  690   877.1252   28.2150
  691   877.4521   28.2361
  692   877.7793   28.2574
  693   878.1067   28.2782
  694   878.4344   28.2991
  695   878.7623   28.3204
  696   879.0906   28.3417
  697   879.4190   28.3625
  698   879.7477   28.3837
  699   880.0767   28.4052
  700   880.4060   28.4264
  701   880.7355   28.4472
  702   881.0653   28.4687
  703   881.3953   28.4903
  704   881.7256   28.5114
  705   882.0562   28.5325
  706   882.3871   28.5542
  707   882.7182   28.5758
  708   883.0495   28.5968
  709   883.3812   28.6183
  710   883.7130   28.6403
  711   884.0452   28.6615
  712   884.3776   28.6826
  713   884.7103   28.7047
  714   885.0433   28.7266
  715   885.3765   28.7476
  716   885.7100   28.7692
  717   886.0438   28.7916
  718   886.3778   28.8131
  719   886.7121   28.8342
  720   887.0466   28.8566
  721   887.3815   28.8787
  722   887.7166   28.8997
  723   888.0519   28.9215
  724   888.3876   28.9442
  725   888.7235   28.9658
  726   889.0597   28.9872
  727   889.3961   29.0096
  728   889.7328   29.0322
  729   890.0698   29.0533
  730   890.4070   29.0754
  731   890.7446   29.0984
  732   891.0824   29.1202
  733   891.4204   29.1415
  734   891.7588   29.1642
  735   892.0974   29.1870
  736   892.4363   29.2082
  737   892.7754   29.2306
  738   893.1149   29.2537
  739   893.4546   29.2757
  740   893.7945   29.2974
  741   894.1348   29.3201
  742   894.4753   29.3430
  743   894.8161   29.3649
  744   895.1572   29.3874
  745   895.4985   29.4106
  746   895.8401   29.4327
  747   896.1820   29.4547
  748   896.5242   29.4779
  749   896.8667   29.5008
  750   897.2094   29.5226
  751   897.5524   29.5457
  752   897.8957   29.5691
  753   898.2392   29.5912
  754   898.5830   29.6136
  755   898.9272   29.6371
  756   899.2716   29.6602
  757   899.6162   29.6821
  758   899.9612   29.7055
  759   900.3064   29.7290
  760   900.6519   29.7513
  761   900.9977   29.7740
  762   901.3437   29.7979
  763   901.6901   29.8207
  764   902.0367   29.8433
  765   902.3836   29.8670
  766   902.7308   29.8905
  767   903.0782   29.9130
  768   903.4260   29.9362
  769   903.7740   29.9603
  770   911.2319   30.4621
  771   911.5867   30.4867
  772   911.9418   30.5102
  773   912.2972   30.5342
  774   912.6528   30.5584
  775   913.0088   30.5825
  776   913.3650   30.6070
  777   913.7215   30.6312
  778   914.0783   30.6553
  779   914.4354   30.6799
  780   914.7928   30.7043
  781   915.1505   30.7285
  782   915.5084   30.7530
  783   915.8667   30.7776
  784   916.2252   30.8020
  785   916.5841   30.8266
  786   916.9432   30.8513
  787   917.3026   30.8758
  788   917.6623   30.9003
  789   918.0223   30.9253
  790   918.3826   30.9500
  791   918.7432   30.9745
  792   919.1041   30.9993
  793   919.4653   31.0244
  794   919.8267   31.0493
  795   920.1885   31.0739
  796   920.5506   31.0990
  797   920.9129   31.1242
  798   921.2756   31.1488
  799   921.6385   31.1738
  800   922.0017   31.1995
  801   922.3653   31.2240
  802   922.7291   31.2491
  803   923.0932   31.2748
  804   923.4576   31.2997
  805   923.8223   31.3248
  806   924.1873   31.3506
  807   924.5526   31.3758
  808   924.9182   31.4008
  809   925.2841   31.4266
  810   925.6504   31.4518
  811   926.0169   31.4772
  812   926.3837   31.5029
  813   926.7508   31.5284
  814   927.1182   31.5537
  815   927.4859   31.5795
  816   927.8538   31.6053
  817   928.2222   31.6307
  818   928.5908   31.6564
  819   928.9597   31.6825
  820   929.3289   31.7079
  821   929.6984   31.7337
  822   930.0682   31.7602
  823   930.4383   31.7855
  824   930.8087   31.8113
  825   931.1794   31.8378
  826   931.5504   31.8635
  827   931.9218   31.8892
  828   932.2934   31.9159
  829   932.6653   31.9418
  830   933.0375   31.9675
  831   933.4101   31.9943
  832   933.7829   32.0204
  833   934.1561   32.0460
  834   934.5295   32.0729
  835   934.9033   32.0994
  836   935.2774   32.1250
  837   935.6517   32.1518
  838   936.0264   32.1785
  839   936.4014   32.2042
  840   936.7767   32.2310
  841   937.1523   32.2583
  842   937.5282   32.2840
  843   937.9045   32.3104
  844   938.2810   32.3380
  845   938.6578   32.3639
  846   939.0350   32.3903
  847   939.4125   32.4182
  848   939.7902   32.4444
  849   940.1683   32.4704
  850   940.5467   32.4986
  851   940.9254   32.5251
  852   941.3044   32.5511
  853   941.6838   32.5795
  854   942.0634   32.6060
  855   942.4434   32.6321
  856   942.8236   32.6602
  857   943.2042   32.6872
  858   943.5851   32.7133
  859   943.9663   32.7414
  860   944.3478   32.7689
  861   944.7297   32.7951
  862   945.1118   32.8231
  863   945.4943   32.8509
  864   945.8771   32.8767
  865   946.2602   32.9051
  866   946.6436   32.9328
  867   947.0273   32.9591
  868   947.4114   32.9871
  869   947.7958   33.0153
  870   948.1804   33.0418
  871   948.5655   33.0698
  872   948.9508   33.0982
  873   949.3364   33.1248
  874   949.7224   33.1528
  875   950.1087   33.1810
  876   950.4953   33.2079
  877   950.8822   33.2361
  878   951.2694   33.2644
  879   951.6570   33.2915
  880   952.0449   33.3197
  881   952.4331   33.3481
  882   952.8216   33.3755
  883   953.2105   33.4034
  884   953.5996   33.4322
  885   953.9891   33.4598
  886   954.3789   33.4875
  887   954.7691   33.5163
  888   955.1595   33.5442
  889   955.5503   33.5724
  890   955.9414   33.6009
  891   956.3329   33.6290
  892   956.7246   33.6572
  893   957.1167   33.6860
  894   957.5091   33.7140
  895   957.9019   33.7423
  896   958.2950   33.7715
  897   958.6884   33.7994
  898   959.0821   33.8277
  899   959.4761   33.8570
  900   959.8705   33.8852
  901   960.2652   33.9136
  902   960.6603   33.9430
  903   961.0556   33.9716
  904   961.4513   33.9997
  905   961.8473   34.0292
  906   962.2437   34.0580
  907   962.6404   34.0861
  908   963.0374   34.1159
  909   963.4347   34.1446
  910   963.8324   34.1730
  911   964.2304   34.2027
  912   964.6288   34.2315
  913   965.0275   34.2603
  914   965.4265   34.2898
  915   965.8258   34.3187
  916   966.2255   34.3476
  917   966.6255   34.3774
  918   967.0258   34.4065
  919   967.4265   34.4352
  920   967.8275   34.4654
  921   968.2289   34.4943
  922   968.6306   34.5235
  923   969.0326   34.5534
  924   969.4350   34.5822
  925   969.8377   34.6121
  926   970.2407   34.6417
  927   970.6441   34.6707
  928   971.0478   34.7011
  929   971.4518   34.7301
  930   971.8562   34.7599
  931   972.2609   34.7901
  932   972.6660   34.8193
  933   973.0714   34.8491
  934   973.4772   34.8796
  935   973.8833   34.9087
  936   974.2897   34.9389
  937   973.8142   34.9037
  938   974.2206   34.9337
  939   974.6274   34.9636
  940   975.0345   34.9935
  941   975.4419   35.0235
  942   975.8497   35.0535
  943   976.2578   35.0836
  944   976.6663   35.1136
  945   977.0751   35.1437
  946   977.4842   35.1739
  947   977.8937   35.2041
  948   978.3036   35.2341
  949   978.7137   35.2646
  950   979.1242   35.2950
  951   979.5351   35.3249
  952   979.9463   35.3557
  953   980.3578   35.3859
  954   980.7697   35.4162
  955   981.1819   35.4470
  956   981.5945   35.4771
  957   982.0074   35.5077
  958   982.4206   35.5385
  959   982.8342   35.5689
  960   983.2482   35.5994
  961   983.6625   35.6304
  962   984.0771   35.6608
  963   984.4921   35.6916
  964   984.9074   35.7225
  965   985.3231   35.7531
  966   985.7391   35.7839
  967   986.1555   35.8151
  968   986.5722   35.8456
  969   986.9892   35.8766
  970   987.4067   35.9077
  971   987.8244   35.9385
  972   988.2425   35.9698
  973   988.6610   36.0008
  974   989.0798   36.0317
  975   989.4990   36.0633
  976   989.9185   36.0941
  977   990.3384   36.1252
  978   990.7586   36.1571
  979   991.1792   36.1878
  980   991.6001   36.2191
  981   992.0214   36.2508
  982   992.4430   36.2817
  983   992.8650   36.3134
  984   993.2873   36.3450
  985   993.7100   36.3758
  986   994.1331   36.4081
  987   994.5565   36.4393
  988   994.9803   36.4704
  989   995.4044   36.5027
  990   995.8289   36.5340
  991   996.2537   36.5654
  992   996.6789   36.5979
  993   997.1044   36.6290
  994   997.5303   36.6608
  995   997.9566   36.6931
  996   998.3832   36.7241
  997   998.8102   36.7566
  998   999.2375   36.7886
  999   999.6652   36.8199
 1000  1000.0933   36.8525
 1001  1000.5217   36.8842
 1002  1000.9505   36.9159
 1003  1001.3797   36.9487
 1004  1001.8092   36.9803
 1005  1002.2390   37.0123
 1006  1002.6693   37.0450
 1007  1003.0999   37.0767
 1008  1003.5308   37.1092
 1009  1003.9622   37.1416
 1010  1004.3939   37.1735
 1011  1004.8259   37.2061
 1012  1005.2583   37.2385
 1013  1005.6911   37.2706
 1014  1006.1243   37.3035
 1015  1006.5578   37.3357
 1016  1006.9917   37.3681
 1017  1007.4259   37.4010
 1018  1007.8605   37.4333
 1019  1008.2955   37.4658
 1020  1008.7309   37.4986
 1021  1009.1666   37.5312
 1022  1009.6027   37.5639
